# Word-specific describer hints: english|hint_en|hint_ar
# Words not listed here fall back to their category hint.
Light|The opposite of darkness, comes from the sun.|عكس الظلام ويأتي من الشمس.
Darkness|When there is no light at all.|عندما لا يوجد ضوء أبدا.
Heat|What you feel near fire or in summer.|ما نشعر به قرب النار أو في الصيف.
Cold|What you feel in winter without a coat.|ما نشعر به شتاء بلا معطف.
Warmth|Gentle pleasant heat, like a blanket.|حرارة لطيفة محببة كالبطانية.
Weather|Sunny, rainy or cloudy — how the day is.|مشمس أو ماطر أو غائم، حال اليوم.
Climate|The usual weather of a place over years.|الطقس المعتاد لمكان عبر السنين.
Season|Winter, spring, summer or autumn.|الشتاء أو الربيع أو الصيف أو الخريف.
Rock|Big hard stone.|حجر كبير صلب.
Path|Narrow way you walk on.|ممر ضيق نمشي عليه.
Orchard|Field planted with fruit trees.|حقل مزروع بأشجار الفاكهة.
Vineyard|Field where grapes are grown.|حقل يزرع فيه العنب.
Greenhouse|Glass house where plants grow warm.|بيت زجاجي تنمو فيه النباتات دافئة.
Harvest|Collecting the crops when they are ready.|جمع المحاصيل عند نضجها.
Crop|What farmers plant and collect.|ما يزرعه الفلاح ويجمعه.
Hay|Dried grass fed to farm animals.|عشب مجفف يطعم لحيوانات المزرعة.
Scarecrow|Fake man standing in fields to scare birds.|رجل مزيف يقف في الحقل ليخيف الطيور.
Herb|Small green plant used for healing or cooking.|نبتة خضراء صغيرة للعلاج أو الطبخ.
Weed|Unwanted plant farmers remove.|نبتة غير مرغوبة يقلعها المزارع.
Clover|Small plant, the lucky one has four leaves.|نبتة صغيرة، ذات الأربع ورقات تجلب الحظ.
Dandelion|Yellow flower that turns white and flies away.|زهرة صفراء تصبح بيضاء وتتطاير.
Log|Thick piece of cut tree.|قطعة غليظة من شجرة مقطوعة.
Firewood|Wood collected for burning.|خشب يجمع للحرق.
Ember|Glowing red piece left after fire.|جمرة حمراء متوهجة تبقى بعد النار.
Bonfire|Big outdoor fire people sit around.|نار كبيرة في الخارج يجلس حولها الناس.
Snowman|Man built from snowballs with a carrot nose.|رجل يبنى من كرات الثلج وأنفه جزرة.
Snowball|You roll it from snow and throw it.|نكورها من الثلج ونرميها.
Blossom|When trees open their flowers in spring.|عندما تفتح الأشجار أزهارها في الربيع.
Sprout|Tiny new plant just coming out.|نبتة جديدة صغيرة بدأت تخرج.
Sapling|A young thin tree.|شجرة فتية رفيعة.
Burrow|Hole in the ground where rabbits live.|جحر في الأرض تعيش فيه الأرانب.
Den|The cave home of a lion or bear.|مأوى الأسد أو الدب في الكهف.
Algae|Green plants growing in water.|نباتات خضراء تنمو في الماء.
Flood|When water covers streets and houses.|عندما يغمر الماء الشوارع والبيوت.
Gem|Precious shiny stone used in jewelry.|حجر ثمين لامع يستخدم في المجوهرات.
Diamond|The hardest and most expensive shiny stone.|أصلب الأحجار الكريمة وأغلاها.
Pearl|White round jewel found inside oysters.|جوهرة بيضاء مستديرة توجد في المحار.
Ruby|Red precious stone.|حجر كريم أحمر.
Emerald|Green precious stone.|حجر كريم أخضر.
Amber|Golden stone made of ancient tree sap.|حجر ذهبي من صمغ الأشجار القديمة.
Ivory|White material from elephant tusks.|مادة بيضاء من أنياب الفيلة.
Drizzle|Very light thin rain.|مطر خفيف رقيق جدا.
Mist|Thin fog you can barely see through.|ضباب خفيف تصعب الرؤية عبره.
Icicle|Hanging finger of ice from the roof.|إصبع جليد متدلٍ من السقف.
Twilight|The dim light just after sunset.|الضوء الخافت بعد الغروب مباشرة.
Skin|Covers your whole body from outside.|يغطي الجسم كله من الخارج.
Bone|The hard white parts inside your body.|الأجزاء الصلبة البيضاء داخل الجسم.
Blood|Red liquid flowing inside your body.|السائل الأحمر الجاري في الجسم.
Brain|Inside your head, you think with it.|داخل الرأس ونفكر به.
Joint|Where two bones meet and bend.|حيث يلتقي عظمان وينثنيان.
Wound|Cut in the skin that bleeds.|جرح في الجلد ينزف.
Scar|The mark left after a wound heals.|الأثر الباقي بعد شفاء الجرح.
Bruise|Blue mark on skin after being hit.|أثر أزرق على الجلد بعد ضربة.
Sweat|Water coming from your skin when hot.|ماء يخرج من الجلد عند الحر.
Tear|Drop falling from the eye when crying.|قطرة تسقط من العين عند البكاء.
Saliva|The water in your mouth.|الماء الذي في الفم.
Voice|What comes out when you speak or sing.|ما يخرج عندما نتكلم أو نغني.
Breath|Air going in and out of your chest.|الهواء الداخل والخارج من الصدر.
Cough|Loud sound from the chest when sick.|صوت قوي من الصدر عند المرض.
Sneeze|Sudden explosion from the nose, achoo!|انفجار مفاجئ من الأنف، عطسة!
Yawn|Your mouth opens wide when sleepy.|يفتح الفم واسعا عند النعاس.
Hiccup|Funny repeated sound you can't stop.|صوت متكرر مضحك لا يمكن إيقافه.
Smile|Your mouth curves up when happy.|ينحني الفم للأعلى عند السعادة.
Laugh|Loud sound of joy, haha.|صوت الفرح العالي، هاها.
Wink|Closing one eye quickly as a signal.|إغلاق عين واحدة بسرعة كإشارة.
Fever|When your body gets too hot from sickness.|عندما يسخن الجسم من المرض.
Headache|Pain inside your head.|ألم داخل الرأس.
Pain|What you feel when something hurts.|ما نشعر به عندما يؤلمنا شيء.
Bandage|White cloth wrapped around a wound.|قماش أبيض يلف حول الجرح.
Plaster|Small sticky cover for a small cut.|غطاء لاصق صغير لجرح صغير.
Crutch|Stick under the arm helping injured people walk.|عصا تحت الإبط تساعد المصاب على المشي.
Wheelchair|Chair with wheels for people who cannot walk.|كرسي بعجلات لمن لا يستطيع المشي.
Medicine|What the doctor gives you to get better.|ما يعطيه الطبيب لتتحسن.
Pill|Small round medicine you swallow.|دواء صغير مستدير يبلع.
Injection|Medicine given through a needle.|دواء يعطى عبر إبرة.
Man|An adult male person.|شخص ذكر بالغ.
Woman|An adult female person.|شخص أنثى بالغة.
Boy|A young male child.|طفل ذكر صغير.
Girl|A young female child.|طفلة أنثى صغيرة.
Child|A young person, not an adult yet.|شخص صغير لم يبلغ بعد.
Person|One human being.|إنسان واحد.
People|Many humans together.|بشر كثيرون معا.
Name|What people call you.|ما يناديك به الناس.
Age|How many years old you are.|كم سنة عشت.
Birth|The moment a baby comes to life.|لحظة مجيء المولود إلى الحياة.
Parents|Your mother and father together.|الأم والأب معا.
Stepmother|Father's wife who is not your mother.|زوجة الأب التي ليست أمك.
Stepfather|Mother's husband who is not your father.|زوج الأم الذي ليس أباك.
Mother-in-law|Your wife's or husband's mother.|أم الزوجة أو الزوج.
Father-in-law|Your wife's or husband's father.|أبو الزوجة أو الزوج.
Fiance|The man a woman will marry soon.|الرجل الذي ستتزوجه المرأة قريبا.
Engagement|The promise before the wedding.|الوعد الذي يسبق الزواج.
Honeymoon|The trip after the wedding.|الرحلة بعد الزواج.
Divorce|When a marriage ends.|عندما ينتهي الزواج.
Relative|Someone from your extended family.|شخص من عائلتك الكبيرة.
Generation|People born around the same time.|الناس المولودون في زمن متقارب.
Household|Everyone living in one home.|كل من يعيش في بيت واحد.
Love|The strongest feeling of the heart.|أقوى مشاعر القلب.
Hug|Wrapping your arms around someone.|إحاطة الذراعين حول شخص.
Kiss|Touching with the lips to show love.|لمسة بالشفاه تعبيرا عن الحب.
Handshake|Greeting by holding hands.|تحية بمسك اليد.
Greeting|What you say when meeting someone.|ما نقوله عند لقاء شخص.
Farewell|What you say when leaving.|ما نقوله عند الرحيل.
Visit|Going to see someone at their home.|الذهاب لرؤية شخص في بيته.
Invitation|Asking someone to come to your event.|طلب حضور شخص إلى مناسبتك.
Celebration|A happy party for a special day.|حفل سعيد ليوم مميز.
Picnic|Eating outdoors in nature with family.|الأكل في الطبيعة مع العائلة.
Trip|Going somewhere far for fun.|الذهاب إلى مكان بعيد للمتعة.
Vacation|Days off from work or school.|أيام راحة من العمل أو المدرسة.
Holiday|A day nobody works.|يوم لا يعمل فيه أحد.
Camping|Sleeping in a tent in nature.|النوم في خيمة في الطبيعة.
Story|What grandparents tell before sleep.|ما يرويه الأجداد قبل النوم.
Joke|Something funny said to make people laugh.|كلام مضحك يقال ليضحك الناس.
Surprise|Something nice you didn't expect.|شيء جميل لم تتوقعه.
Friendship|The strong bond between friends.|الرابطة القوية بين الأصدقاء.
T-shirt|Simple top with short sleeves, no buttons.|لباس علوي بسيط بأكمام قصيرة وبلا أزرار.
Trousers|Long clothing covering both legs.|لباس طويل يغطي الساقين.
Blazer|Elegant jacket worn over a shirt.|سترة أنيقة تلبس فوق القميص.
Gown|Long elegant dress for parties.|فستان طويل أنيق للحفلات.
Abaya|Long black robe women wear.|رداء أسود طويل تلبسه النساء.
Hijab|Cloth covering a woman's hair.|غطاء يستر شعر المرأة.
Kaftan|Long loose traditional dress.|لباس تقليدي طويل فضفاض.
Jellaba|North African hooded long dress.|لباس مغاربي طويل بقلنسوة.
